Clothing ID,Age,Positive Feedback Count,Division Name,Department Name,Class Name,Recommended IND,title_char_point,title_char_comma,title_char_semicolon,title_char_quotes,title_char_exclamation,title_char_question,title_char_hashtag,title_char_ellipsis,title_nlp_tokens,title_nlp_sentences,title_nlp_pronoums,title_nlp_adjectives,title_nlp_verbs,title_nlp_nouns,title_nlp_conjunctions,title_nlp_numbers,title_nlp_symbols,title_sentiment_positive,title_sentiment_negative,title_sentiment_mixed,review_text_char_point,review_text_char_comma,review_text_char_semicolon,review_text_char_quotes,review_text_char_exclamation,review_text_char_question,review_text_char_hashtag,review_text_char_ellipsis,review_text_nlp_tokens,review_text_nlp_sentences,review_text_nlp_pronoums,review_text_nlp_adjectives,review_text_nlp_verbs,review_text_nlp_nouns,review_text_nlp_conjunctions,review_text_nlp_numbers,review_text_nlp_symbols,review_text_sentiment_positive,review_text_sentiment_negative,review_text_sentiment_mixed
1077,60,0,General,Dresses,Dresses,0,0,0,0,0,0,0,0,0,4,1,0,1,0,2,0,0,0,0,0,0,4,4,0,0,1,0,0,0,111,6,0,17,10,15,5,0,0,1,1,2
1049,50,0,General Petite,Bottoms,Pants,1,0,0,0,0,1,0,0,0,4,1,0,1,0,1,0,0,0,0,0,0,1,5,0,1,2,0,0,0,31,3,0,2,4,6,2,0,0,1,0,1
1080,49,4,General,Dresses,Dresses,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,107,7,1,6,8,21,7,1,0,0,0,3
858,39,1,General Petite,Tops,Knits,1,0,0,0,0,0,0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,6,6,0,0,0,0,0,0,119,7,8,4,15,14,3,1,0,1,1,0
858,39,4,General Petite,Tops,Knits,1,0,1,0,0,0,0,0,0,6,1,1,0,1,1,0,0,0,0,0,0,10,6,0,1,0,0,0,4,114,6,3,8,11,21,7,0,0,1,0,1
1077,24,0,General,Dresses,Dresses,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37,4,1,4,4,7,2,0,0,1,0,1
1077,34,0,General,Dresses,Dresses,1,0,0,0,0,1,0,0,0,5,1,0,1,0,1,0,0,0,1,0,0,6,3,0,5,0,0,0,0,89,6,2,8,7,12,4,2,0,0,0,3
1077,53,14,General,Dresses,Dresses,0,0,0,0,1,0,0,0,0,9,1,0,1,2,2,0,0,0,0,1,0,3,0,0,0,2,0,0,0,71,5,1,6,11,10,2,0,0,0,1,0
1095,53,2,General Petite,Dresses,Dresses,1,0,0,0,0,3,0,0,0,4,1,0,1,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,0,106,6,1,8,11,17,5,0,0,0,0,0
1077,50,1,General,Dresses,Dresses,1,0,0,0,0,0,0,0,0,6,1,0,1,0,3,0,0,0,1,0,0,6,0,0,0,0,0,0,0,104,7,0,10,8,23,2,1,0,1,0,1
1065,47,3,General,Bottoms,Pants,1,0,1,0,0,0,0,0,0,7,1,0,1,0,1,1,0,0,1,0,1,6,6,0,1,1,0,0,0,113,7,0,7,11,13,5,0,0,2,0,1
1065,34,2,General,Bottoms,Pants,1,0,1,0,0,0,0,0,0,11,1,0,3,1,1,1,0,0,0,0,1,5,3,0,1,0,0,1,0,88,5,1,9,6,14,5,3,0,3,0,1
1077,47,0,General,Dresses,Dresses,1,0,0,0,0,0,0,0,0,3,1,0,2,0,0,1,0,0,2,0,0,5,2,0,2,1,0,0,0,67,6,2,7,6,11,3,0,0,3,0,1
1080,55,14,General,Dresses,Dresses,1,0,0,0,1,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,8,6,0,1,1,0,0,0,121,10,1,8,12,14,3,0,0,1,0,2
1077,31,7,General,Dresses,Dresses,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,5,3,0,2,1,0,0,0,98,5,0,7,12,13,5,0,0,0,2,2
1077,34,0,General,Dresses,Dresses,1,1,1,0,1,0,0,0,0,9,1,0,0,1,0,1,0,0,0,0,1,6,1,0,2,0,0,0,0,50,6,1,5,9,5,1,1,0,1,1,1
949,33,0,General,Tops,Sweaters,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,5,0,0,2,0,0,0,0,107,6,0,7,12,17,4,1,0,0,0,1
1003,31,0,General,Bottoms,Skirts,1,0,1,0,0,0,0,0,0,4,1,0,0,2,0,1,0,0,0,0,1,5,1,0,3,0,0,0,0,56,5,1,5,4,7,3,0,0,2,0,0
1060,46,7,General Petite,Bottoms,Pants,1,0,0,0,0,1,0,0,0,4,1,1,0,0,1,0,0,0,0,0,0,3,2,0,1,1,0,0,0,72,5,1,7,5,13,2,2,0,2,0,0
1060,21,0,General Petite,Bottoms,Pants,1,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,2,0,2,2,3,0,0,0,0,0,0
949,36,0,General,Tops,Sweaters,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,10,6,4,0,1,1,2,2,100,9,4,7,12,9,4,1,0,0,3,1
1060,65,3,General Petite,Bottoms,Pants,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,2,0,0,0,23,2,0,1,2,5,1,0,0,0,0,1
949,38,1,General,Tops,Sweaters,1,0,0,0,0,0,0,0,0,4,1,0,1,1,1,0,0,0,0,0,0,4,6,0,7,0,0,0,0,96,4,1,6,7,18,7,6,1,2,0,2
862,48,9,General,Tops,Knits,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,5,1,0,5,1,0,0,0,84,7,0,8,9,12,4,2,0,2,1,0
862,43,0,General,Tops,Knits,1,0,0,0,0,0,0,0,0,5,1,0,0,1,2,0,1,0,0,0,0,5,0,0,0,1,0,0,2,51,4,0,5,6,9,2,0,0,1,0,1
862,33,0,General,Tops,Knits,1,0,0,0,0,1,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,2,2,0,3,1,0,0,0,57,3,1,7,3,11,5,0,0,3,0,1
862,46,1,General,Tops,Knits,1,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,6,2,0,1,0,0,0,0,78,6,0,6,8,9,2,0,0,4,0,1
862,41,2,General,Tops,Knits,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3,1,0,4,1,0,0,0,45,4,0,5,2,8,3,2,0,1,0,1
862,39,34,General,Tops,Knits,1,0,0,0,0,0,0,0,0,3,1,0,2,0,0,1,0,0,2,0,0,5,4,0,2,0,0,0,0,106,6,2,10,17,18,3,1,0,1,0,0
862,66,2,General,Tops,Knits,1,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,1,0,0,9,2,0,5,0,0,0,0,100,9,0,16,9,13,3,0,0,5,0,2
862,61,2,General,Tops,Knits,1,0,0,0,0,1,0,0,0,7,1,0,2,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,45,3,0,6,3,8,3,0,0,4,0,1
862,31,0,General,Tops,Knits,0,0,1,0,0,0,0,0,0,5,1,0,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,32,3,0,1,3,6,4,0,0,1,0,1
1095,41,0,General Petite,Dresses,Dresses,1,0,0,0,0,1,0,0,0,3,1,0,1,0,1,0,0,0,1,0,0,4,1,0,2,0,0,0,0,64,5,0,8,4,8,4,0,0,4,0,0
862,28,0,General,Tops,Knits,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,46,4,0,3,2,6,1,1,0,2,0,0
862,57,1,General,Tops,Knits,1,0,0,0,0,1,0,0,0,6,2,0,2,1,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,27,3,1,6,2,7,0,1,1,3,0,0
862,43,0,General,Tops,Knits,1,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1,0,1,2,2,1,0,0,0,0,0
862,60,9,General,Tops,Knits,1,0,0,0,0,0,0,0,0,5,1,0,3,0,1,1,0,0,1,0,0,5,4,0,4,0,0,0,0,120,8,4,10,10,16,6,1,0,1,0,1
862,40,1,General,Tops,Knits,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,0,9,7,0,0,3,0,0,3,114,8,0,14,16,10,7,0,0,3,0,1
862,37,0,General,Tops,Knits,0,3,0,0,0,0,0,0,2,7,1,0,0,2,1,0,0,0,0,0,0,8,1,0,0,0,0,0,2,77,6,0,6,9,11,2,1,0,0,0,0
1078,56,1,General Petite,Dresses,Dresses,0,0,0,0,0,1,0,0,0,4,1,0,1,0,2,0,0,0,1,0,0,5,3,0,0,1,0,0,0,64,6,0,3,11,8,3,0,0,1,2,1
822,36,0,General,Tops,Blouses,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,1,0,0,0,1,0,4,2,0,2,2,3,0,0,116,7,1,9,11,14,9,3,1,2,1,1
